epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,468.257,1.2068,1.05656,1.35127,0.61882,0.67686,0.67618,0.33712,1.58147,1.33048,1.68725,0.0005941,0.0005941,0.0005941
43,479.336,1.23043,1.05474,1.37691,0.71981,0.66572,0.7373,0.38681,1.54007,1.26208,1.70386,0.0005842,0.0005842,0.0005842
44,490.603,1.21543,1.04596,1.36685,0.71635,0.69218,0.7425,0.39661,1.51307,1.23382,1.68075,0.0005743,0.0005743,0.0005743
45,501.778,1.19368,1.02234,1.33819,0.72069,0.65559,0.73152,0.38456,1.56716,1.27465,1.71491,0.0005644,0.0005644,0.0005644
46,512.923,1.20606,1.02653,1.34563,0.69845,0.66619,0.72118,0.37028,1.58193,1.31858,1.73028,0.0005545,0.0005545,0.0005545
47,524.088,1.24926,1.06475,1.37408,0.75958,0.63467,0.73878,0.36789,1.61395,1.31191,1.73576,0.0005446,0.0005446,0.0005446
48,535.24,1.20476,1.0303,1.3374,0.64254,0.679,0.68975,0.36236,1.56682,1.26883,1.70857,0.0005347,0.0005347,0.0005347
49,546.343,1.18615,1.00383,1.3379,0.63222,0.66172,0.71066,0.37584,1.54779,1.23996,1.67201,0.0005248,0.0005248,0.0005248
50,557.42,1.20883,1.02251,1.33484,0.69929,0.69284,0.75187,0.40094,1.52422,1.20939,1.70489,0.0005149,0.0005149,0.0005149
51,568.709,1.16083,0.96395,1.31572,0.73212,0.66922,0.73507,0.39068,1.53587,1.23343,1.65079,0.000505,0.000505,0.000505
52,579.792,1.17767,0.98659,1.33038,0.72233,0.68006,0.74162,0.38027,1.57314,1.23364,1.71174,0.0004951,0.0004951,0.0004951
53,590.897,1.15715,0.95499,1.31637,0.73131,0.66451,0.75575,0.39507,1.53344,1.23129,1.68114,0.0004852,0.0004852,0.0004852
54,601.98,1.17246,0.99584,1.32167,0.66247,0.72594,0.74317,0.39407,1.54221,1.20585,1.71655,0.0004753,0.0004753,0.0004753
55,613.083,1.16021,0.96176,1.32343,0.64696,0.70851,0.73404,0.38331,1.56783,1.25226,1.69682,0.0004654,0.0004654,0.0004654
56,624.173,1.17502,0.96512,1.31865,0.73492,0.69635,0.7468,0.39036,1.53249,1.23205,1.68374,0.0004555,0.0004555,0.0004555
57,635.296,1.14867,0.94148,1.30758,0.70599,0.69674,0.7462,0.38225,1.5598,1.21365,1.70716,0.0004456,0.0004456,0.0004456
58,646.586,1.15185,0.94196,1.31747,0.74193,0.67572,0.736,0.39344,1.54894,1.19942,1.70151,0.0004357,0.0004357,0.0004357
59,657.694,1.15052,0.92453,1.3108,0.76176,0.65384,0.72184,0.3774,1.58545,1.23668,1.7093,0.0004258,0.0004258,0.0004258
60,668.847,1.13245,0.9302,1.29196,0.70359,0.70317,0.75344,0.40032,1.52969,1.19647,1.66953,0.0004159,0.0004159,0.0004159
61,680.003,1.1331,0.92109,1.28536,0.68302,0.70156,0.73597,0.38719,1.53574,1.20332,1.66993,0.000406,0.000406,0.000406
62,691.086,1.14383,0.93658,1.30644,0.64778,0.71849,0.74201,0.38169,1.56879,1.22801,1.70506,0.0003961,0.0003961,0.0003961
63,702.24,1.14024,0.92176,1.30424,0.72334,0.71897,0.76188,0.40142,1.53814,1.15109,1.69287,0.0003862,0.0003862,0.0003862
64,713.522,1.13602,0.92026,1.29695,0.6936,0.69007,0.74098,0.38441,1.552,1.20479,1.67349,0.0003763,0.0003763,0.0003763
65,724.746,1.13436,0.9096,1.29341,0.67043,0.71905,0.75382,0.38814,1.54641,1.20755,1.67128,0.0003664,0.0003664,0.0003664
66,735.886,1.11456,0.88824,1.28818,0.68998,0.69541,0.75755,0.3976,1.56008,1.18223,1.70094,0.0003565,0.0003565,0.0003565
67,746.984,1.10484,0.8699,1.28043,0.73344,0.67044,0.72502,0.39075,1.49738,1.19591,1.64954,0.0003466,0.0003466,0.0003466
68,758.103,1.11577,0.91797,1.30558,0.74439,0.68988,0.75546,0.39666,1.54325,1.18225,1.68654,0.0003367,0.0003367,0.0003367
69,769.195,1.11887,0.88736,1.28753,0.72571,0.67333,0.75416,0.39882,1.51439,1.20049,1.66549,0.0003268,0.0003268,0.0003268
70,780.324,1.07236,0.86008,1.26771,0.64979,0.68363,0.71388,0.3692,1.57895,1.23265,1.71137,0.0003169,0.0003169,0.0003169
71,791.461,1.09231,0.87387,1.27444,0.75397,0.68123,0.76868,0.39948,1.56004,1.18935,1.72438,0.000307,0.000307,0.000307
72,802.676,1.10129,0.8669,1.27364,0.71899,0.67941,0.74761,0.39267,1.52076,1.1828,1.67496,0.0002971,0.0002971,0.0002971
73,813.751,1.11198,0.87719,1.28229,0.73927,0.69569,0.75559,0.39888,1.52316,1.16467,1.70501,0.0002872,0.0002872,0.0002872
74,824.813,1.0813,0.85922,1.27747,0.71772,0.70529,0.76554,0.39622,1.53211,1.17576,1.67888,0.0002773,0.0002773,0.0002773
75,835.917,1.08574,0.86329,1.27008,0.72346,0.66661,0.75818,0.40166,1.53206,1.17875,1.69104,0.0002674,0.0002674,0.0002674
76,847.148,1.07836,0.86024,1.2669,0.69958,0.70204,0.76674,0.40164,1.52189,1.16706,1.69316,0.0002575,0.0002575,0.0002575
